Wavelength;Fator
0.915;0.001037971
0.917;0.001029581
0.919;0.001028382
0.921;0.000994822
0.923;0.000984035
0.925;0.000988829
0.927;0.000992425
0.929;0.000998418
0.931;0.000990028
0.933;0.000997219
0.935;0.000980439
0.937;0.000961262
0.939;0.000968453
0.941;0.000958865
0.943;0.000939687
0.945;0.000957666
0.947;0.000950475
0.949;0.000931297
0.951;0.000932496
0.953;0.000924106
0.955;0.000910921
0.957;0.000927702
0.959;0.000924106
0.961;0.000919312
0.963;0.000919312
0.965;0.000915716
0.967;0.000907326
0.969;0.000930099
0.971;0.000914517
0.973;0.000915716
0.975;0.000898936
0.977;0.00092051
0.979;0.00092051
0.981;0.000913319
0.983;0.000918113
0.985;0.000924106
0.987;0.000906127
0.989;0.000919312
0.991;0.000915716
0.993;0.000904929
0.995;0.000906127
0.997;0.000890546
0.999;0.000890546
1.0025;0.000892943
1.0075;0.000883354
1.0125;0.000879758
1.0175;0.000864177
1.0225;0.000843801
1.0275;0.000848595
1.0325;0.000824624
1.0375;0.000829418
1.0425;0.000816234
1.0475;0.000821028
1.0525;0.000792262
1.0575;0.000779078
1.0625;0.000769489
1.0675;0.000770688
1.0725;0.000764695
1.0775;0.000755106
1.0825;0.00074312
1.0875;0.000735929
1.0925;0.000733531
1.0975;0.00071795
1.1025;0.000728737
1.1075;0.000720347
1.1125;0.000722744
1.1175;0.000705964
1.1225;0.000693978
1.1275;0.000681993
1.1325;0.000678397
1.1375;0.000674801
1.1425;0.00066761
1.1475;0.000666411
1.1525;0.000653227
1.1575;0.000664014
1.1625;0.000647234
1.1675;0.000635248
1.1725;0.000638844
1.1775;0.000629255
1.1825;0.000616071
1.1875;0.000613673
1.1925;0.000612475
1.1975;0.000601688
1.2025;0.000594496
1.2075;0.000592099
1.2125;0.000586106
1.2175;0.00059929
1.2225;0.000576517
1.2275;0.000576517
1.2325;0.000580113
1.2375;0.000571723
1.2425;0.000571723
1.2475;0.000558539
1.2525;0.000568127
1.2575;0.000554943
1.2625;0.00053217
1.2675;0.000524978
1.2725;0.000526177
1.2775;0.000542957
1.2825;0.000521383
1.2875;0.00052378
1.2925;0.000529773
1.2975;0.000524978
1.3025;0.000524978
1.3075;0.000514191
1.3125;0.000502205
1.3175;0.00049861
1.3225;0.00049861
1.3275;0.000492617
1.3325;0.000485425
1.3375;0.000479432
1.3425;0.000477035
1.3475;0.000472241
1.3525;0.000463851
1.3575;0.000457858
1.3625;0.000453064
1.3675;0.000443475
1.3725;0.000442276
1.3775;0.000441078
1.3825;0.000436283
1.3875;0.000436283
1.3925;0.000429092
1.3975;0.000427893
1.4025;0.000423099
1.4075;0.000419503
1.4125;0.000414709
1.4175;0.000412312
1.4225;0.000411113
1.4275;0.000417106
1.4325;0.000403922
1.4375;0.00039673
1.4425;0.000391936
1.4475;0.000381149
1.4525;0.000387142
1.4575;0.000367964
1.4625;0.00037995
1.4675;0.000372759
1.4725;0.000372759
1.4775;0.000367964
1.4825;0.00036317
1.4875;0.000357177
1.4925;0.00036317
1.4975;0.000359574
1.5025;0.00035478
1.5075;0.000353581
1.5125;0.000347588
1.5175;0.000347588
1.5225;0.000342794
1.5275;0.000347588
1.5325;0.000338
1.5375;0.000328411
1.5425;0.00032961
1.5475;0.000328411
1.5525;0.000327213
1.5575;0.000326014
1.5625;0.000322418
1.5675;0.000315227
1.5725;0.000311631
1.5775;0.000310432
1.5825;0.000305638
1.5875;0.000302042
1.5925;0.000294851
1.5975;0.000294851
1.6025;0.000296049
1.6075;0.000290057
1.6125;0.000292454
1.6175;0.000291255
1.6225;0.000287659
1.6275;0.000292454
1.6325;0.000288858
1.6375;0.000284064
1.6425;0.000280468
1.6475;0.000281667
1.6525;0.000280468
1.6575;0.000280468
1.6625;0.000279269
1.6675;0.000274475
1.6725;0.000273276
1.6775;0.000263688
1.6825;0.000264886
1.6875;0.000262489
1.6925;0.000262489
1.6975;0.000256496
1.7025;0.000260092
1.7075;0.000254099
1.7125;0.000243312
1.7175;0.000254099
1.7225;0.000245709
1.7275;0.000234922
1.7325;0.00022773
1.7375;0.000226532
1.7425;0.000228929
1.7475;0.000221737
1.7525;0.000224135
1.7575;0.000226532
1.7625;0.000220539
1.7675;0.000218142
1.7725;0.000212149
1.7775;0.000207354
1.7825;0.000204957
1.7875;0.000203759
1.7925;0.00020256
1.7975;0.000207354
1.8025;0.00020256
1.8075;0.000201362
1.8125;0.000191773
1.8175;0.000191773
1.8225;0.000190574
1.8275;0.000186979
1.8325;0.000186979
1.8375;0.000179787
1.8425;0.000183383
1.8475;0.000180986
1.8525;0.00017739
1.8575;0.000173794
1.8625;0.000171397
1.8675;0.000171397
1.8725;0.000161808
1.8775;0.000161808
1.8825;0.000167801
1.8875;0.000165404
1.8925;0.000164206
1.8975;0.000165404
1.9025;0.000159411
1.9075;0.000163007
1.9125;0.000165404
1.9175;0.000163007
1.9225;0.00016061
1.9275;0.000158213
1.9325;0.000158213
1.9375;0.000157014
1.9425;0.000154617
1.9475;0.00015222
1.9525;0.000151021
1.9575;0.000146227
1.9625;0.000151021
1.9675;0.000149823
1.9725;0.000149823
1.9775;0.000154617
1.9825;0.000149823
1.9875;0.000147425
1.9925;0.000145028
1.9975;0.000147425
2.0025;0.000139035
2.0125;0.000136638
2.0225;0.00013544
2.0325;0.000131844
2.0425;0.000128248
2.0525;0.000124652
2.0625;0.000119858
2.0775;0.000121057
2.0925;0.000117461
2.1075;0.000111468
2.1225;0.000104277
2.1375;0.000101879
2.1525;9.71E-05
2.1675;9.59E-05
2.1825;8.99E-05
2.1975;8.75E-05
2.2125;8.99E-05
2.2275;8.99E-05
2.2475;8.63E-05
2.2625;8.51E-05
2.2825;8.27E-05
2.3025;7.91E-05
2.3225;6.35E-05
2.3425;6.95E-05
2.3625;7.79E-05
2.3825;6.59E-05
2.4025;6.47E-05
2.4225;6.83E-05
2.4425;6.11E-05
2.4675;6.35E-05
2.4925;6.47E-05
2.5175;5.63E-05
2.5425;5.51E-05
2.5675;5.27E-05
2.5925;5.03E-05
2.6175;4.91E-05
2.6425;4.67E-05
2.6725;4.55E-05
2.7025;4.31E-05
2.7325;4.20E-05
2.7625;4.08E-05
2.7975;3.84E-05
2.8325;3.72E-05
2.8675;3.48E-05
2.9075;3.36E-05
2.9475;3.12E-05
2.9875;3.00E-05
3.025;2.88E-05
3.075;2.76E-05
3.125;2.52E-05
3.175;2.40E-05
3.235;2.28E-05
3.295;2.16E-05
3.355;1.92E-05
3.425;1.80E-05
3.495;1.68E-05
3.575;1.56E-05
3.665;1.44E-05
3.755;1.32E-05
3.855;1.20E-05
3.965;1.08E-05
4.085;9.59E-06
4.225;8.39E-06
4.385;7.19E-06
4.575;5.99E-06
4.805;4.79E-06
5.085;3.60E-06
5.445;2.40E-06
5.925;2.40E-06
6.615;1.20E-06
7.785;1.20E-06
10.075;0
